0_0: transcript:QX1410.16786.1
0_110: transcript:QX1410.16857.1
0_111: transcript:QX1410.16858.1
0_112: transcript:QX1410.16859.1
0_113: transcript:QX1410.16859.2
0_114: transcript:QX1410.16860.1
0_115: transcript:QX1410.16860.2
0_116: transcript:QX1410.16860.3
0_117: transcript:QX1410.16860.4
0_118: transcript:QX1410.16860.5
0_119: transcript:QX1410.16861.1
0_120: transcript:QX1410.16862.1
0_121: transcript:QX1410.16862.2
0_122: transcript:QX1410.16862.3
0_123: transcript:QX1410.16862.4
0_124: transcript:QX1410.16863.1
0_125: transcript:QX1410.16864.1
0_126: transcript:QX1410.16865.1
0_127: transcript:QX1410.16865.2
0_128: transcript:QX1410.16865.3
0_129: transcript:QX1410.16865.4
0_130: transcript:QX1410.16865.5
0_131: transcript:QX1410.16865.6
0_132: transcript:QX1410.16865.7
0_133: transcript:QX1410.16866.1
0_134: transcript:QX1410.16866.2
0_135: transcript:QX1410.16867.1
0_136: transcript:QX1410.16868.1
0_137: transcript:QX1410.16869.1
0_138: transcript:QX1410.16870.1
0_139: transcript:QX1410.16871.1
0_140: transcript:QX1410.16871.2
0_141: transcript:QX1410.16872.1
0_142: transcript:QX1410.16873.1
0_143: transcript:QX1410.16874.1
0_144: transcript:QX1410.16875.1
0_145: transcript:QX1410.16876.1
0_146: transcript:QX1410.16876.2
0_147: transcript:QX1410.16877.1
0_148: transcript:QX1410.16878.1
0_149: transcript:QX1410.16879.1
0_150: transcript:QX1410.16880.1
0_151: transcript:QX1410.16881.1
0_152: transcript:QX1410.16882.1
0_153: transcript:QX1410.16883.1
0_154: transcript:QX1410.16884.1
0_155: transcript:QX1410.16885.1
0_156: transcript:QX1410.16886.1
0_157: transcript:QX1410.16886.2
0_158: transcript:QX1410.16887.1
0_159: transcript:QX1410.16888.1
0_160: transcript:QX1410.16889.1
0_161: transcript:QX1410.16890.1
0_162: transcript:QX1410.16891.1
0_163: transcript:QX1410.16891.2
0_164: transcript:QX1410.16892.1
0_165: transcript:QX1410.16893.1
0_166: transcript:QX1410.16894.1
0_167: transcript:QX1410.16894.2
0_168: transcript:QX1410.16895.1
0_169: transcript:QX1410.16895.2
0_170: transcript:QX1410.16896.1
0_171: transcript:QX1410.16896.2
0_172: transcript:QX1410.16897.1
0_173: transcript:QX1410.16897.2
0_174: transcript:QX1410.16898.1
0_175: transcript:QX1410.16899.1
0_176: transcript:QX1410.16900.1
0_177: transcript:QX1410.16901.1
0_178: transcript:QX1410.16902.1
0_179: transcript:QX1410.16903.1
0_180: transcript:QX1410.16904.1
0_181: transcript:QX1410.16905.1
0_182: transcript:QX1410.16906.1
0_183: transcript:QX1410.16907.1
0_184: transcript:QX1410.16908.1
0_185: transcript:QX1410.16909.1
0_186: transcript:QX1410.16910.1
0_187: transcript:QX1410.16911.1
0_188: transcript:QX1410.16911.2
0_189: transcript:QX1410.16912.1
0_190: transcript:QX1410.16913.1
0_191: transcript:QX1410.16913.2
0_192: transcript:QX1410.16914.1
0_193: transcript:QX1410.16915.1
0_194: transcript:QX1410.16916.1
0_195: transcript:QX1410.16917.1
0_196: transcript:QX1410.16918.1
0_197: transcript:QX1410.16919.1
0_198: transcript:QX1410.16919.2
0_199: transcript:QX1410.16920.1
0_200: transcript:QX1410.16920.2
0_201: transcript:QX1410.16921.1
0_202: transcript:QX1410.16921.2
0_203: transcript:QX1410.16921.3
0_204: transcript:QX1410.16921.4
0_205: transcript:QX1410.16921.5
0_206: transcript:QX1410.16921.6
0_207: transcript:QX1410.16922.1
0_208: transcript:QX1410.16923.1
0_209: transcript:QX1410.16923.2
0_210: transcript:QX1410.16924.1
0_211: transcript:QX1410.16925.1
0_212: transcript:QX1410.16926.1
0_213: transcript:QX1410.16926.2
0_214: transcript:QX1410.16927.1
0_215: transcript:QX1410.16927.2
0_216: transcript:QX1410.16927.3
0_217: transcript:QX1410.16928.1
0_218: transcript:QX1410.16927.4
0_219: transcript:QX1410.16927.5
0_220: transcript:QX1410.16927.6
0_221: transcript:QX1410.16927.7
0_222: transcript:QX1410.16927.8
0_223: transcript:QX1410.16927.9
0_224: transcript:QX1410.16929.1
0_225: transcript:QX1410.16929.2
0_226: transcript:QX1410.16930.1
0_227: transcript:QX1410.16931.1
0_228: transcript:QX1410.16931.2
0_229: transcript:QX1410.16932.1
0_230: transcript:QX1410.16933.1
0_231: transcript:QX1410.16933.2
0_232: transcript:QX1410.16933.3
0_233: transcript:QX1410.16934.1
0_234: transcript:QX1410.16934.2
0_235: transcript:QX1410.16935.1
0_236: transcript:QX1410.16936.1
0_237: transcript:QX1410.16936.2
0_238: transcript:QX1410.16937.1
0_239: transcript:QX1410.16938.1
0_240: transcript:QX1410.16939.1
0_241: transcript:QX1410.16939.2
0_242: transcript:QX1410.16939.3
0_243: transcript:QX1410.16940.1
0_244: transcript:QX1410.16940.2
0_245: transcript:QX1410.16940.3
0_246: transcript:QX1410.16940.4
0_247: transcript:QX1410.16940.5
0_248: transcript:QX1410.16940.6
0_249: transcript:QX1410.16941.1
0_250: transcript:QX1410.16942.1
0_251: transcript:QX1410.16943.1
0_252: transcript:QX1410.16944.1
0_253: transcript:QX1410.16945.1
0_254: transcript:QX1410.16946.1
0_255: transcript:QX1410.16947.1
0_256: transcript:QX1410.16947.2
0_257: transcript:QX1410.16948.1
0_258: transcript:QX1410.16948.2
0_259: transcript:QX1410.16949.1
0_260: transcript:QX1410.16950.1
0_261: transcript:QX1410.16951.1
0_262: transcript:QX1410.16951.2
0_263: transcript:QX1410.16952.1
0_264: transcript:QX1410.16952.2
0_265: transcript:QX1410.16952.3
0_266: transcript:QX1410.16953.1
0_267: transcript:QX1410.16954.1
0_268: transcript:QX1410.16953.2
0_269: transcript:QX1410.16955.1
0_270: transcript:QX1410.16956.1
0_271: transcript:QX1410.16956.2
0_272: transcript:QX1410.16957.1
0_273: transcript:QX1410.16958.1
0_274: transcript:QX1410.16959.1
0_275: transcript:QX1410.16960.1
0_276: transcript:QX1410.16961.1
0_277: transcript:QX1410.16962.1
0_278: transcript:QX1410.16962.2
0_279: transcript:QX1410.16963.1
0_280: transcript:QX1410.16964.1
0_281: transcript:QX1410.16965.1
0_282: transcript:QX1410.16966.1
0_283: transcript:QX1410.16967.1
0_284: transcript:QX1410.16968.1
0_285: transcript:QX1410.16969.1
0_286: transcript:QX1410.16970.1
0_287: transcript:QX1410.16970.2
0_288: transcript:QX1410.16970.3
0_289: transcript:QX1410.16971.1
0_290: transcript:QX1410.16972.1
0_291: transcript:QX1410.16973.1
0_292: transcript:QX1410.16974.1
0_293: transcript:QX1410.16975.1
0_294: transcript:QX1410.16975.2
0_295: transcript:QX1410.16976.1
0_296: transcript:QX1410.16977.1
0_297: transcript:QX1410.16978.1
0_298: transcript:QX1410.16979.1
0_299: transcript:QX1410.16980.1
0_300: transcript:QX1410.16981.1
0_301: transcript:QX1410.16981.2
0_302: transcript:QX1410.16981.3
0_303: transcript:QX1410.16982.1
0_304: transcript:QX1410.16982.2
0_305: transcript:QX1410.16983.1
0_306: transcript:QX1410.16984.1
0_307: transcript:QX1410.16984.2
0_308: transcript:QX1410.16985.1
0_309: transcript:QX1410.16986.1
0_310: transcript:QX1410.16987.1
0_311: transcript:QX1410.16988.1
0_312: transcript:QX1410.16988.2
0_313: transcript:QX1410.16988.3
0_314: transcript:QX1410.16988.4
0_315: transcript:QX1410.16989.1
0_316: transcript:QX1410.16990.1
0_317: transcript:QX1410.16991.1
0_318: transcript:QX1410.16992.1
0_319: transcript:QX1410.16992.2
0_320: transcript:QX1410.16992.3
0_321: transcript:QX1410.16992.4
0_322: transcript:QX1410.16993.1
0_323: transcript:QX1410.16993.2
0_324: transcript:QX1410.16993.3
0_325: transcript:QX1410.16993.4
0_326: transcript:QX1410.16994.1
0_327: transcript:QX1410.16995.1
0_328: transcript:QX1410.16996.1
0_329: transcript:QX1410.16997.1
0_330: transcript:QX1410.16998.1
0_331: transcript:QX1410.16999.1
0_332: transcript:QX1410.16999.2
0_333: transcript:QX1410.17000.1
0_334: transcript:QX1410.17001.1
0_335: transcript:QX1410.17002.1
0_336: transcript:QX1410.17003.1
0_337: transcript:QX1410.17003.2
0_338: transcript:QX1410.17003.3
0_339: transcript:QX1410.17003.4
0_340: transcript:QX1410.17004.1
0_341: transcript:QX1410.17005.1
0_342: transcript:QX1410.17006.1
0_343: transcript:QX1410.17007.1
0_344: transcript:QX1410.17008.1
0_345: transcript:QX1410.17009.1
0_346: transcript:QX1410.17010.1
0_347: transcript:QX1410.17011.1
0_348: transcript:QX1410.17011.2
0_349: transcript:QX1410.17011.3
0_350: transcript:QX1410.17011.4
0_351: transcript:QX1410.17011.5
0_352: transcript:QX1410.17011.6
0_353: transcript:QX1410.17012.1
0_354: transcript:QX1410.17012.2
0_355: transcript:QX1410.17013.1
0_356: transcript:QX1410.17013.2
0_357: transcript:QX1410.17014.1
0_358: transcript:QX1410.17014.2
0_359: transcript:QX1410.17015.1
0_360: transcript:QX1410.17016.1
0_361: transcript:QX1410.17016.2
0_362: transcript:QX1410.17017.1
0_363: transcript:QX1410.17018.1
0_364: transcript:QX1410.17019.1
0_365: transcript:QX1410.17019.2
0_366: transcript:QX1410.17020.1
0_367: transcript:QX1410.17021.1
0_368: transcript:QX1410.17021.2
0_369: transcript:QX1410.17022.1
0_370: transcript:QX1410.17022.2
0_371: transcript:QX1410.17023.1
0_372: transcript:QX1410.17024.1
0_373: transcript:QX1410.17024.2
0_374: transcript:QX1410.17024.3
0_375: transcript:QX1410.17025.1
0_376: transcript:QX1410.17026.1
0_377: transcript:QX1410.17027.1
0_378: transcript:QX1410.17027.2
0_379: transcript:QX1410.17028.1
0_380: transcript:QX1410.17029.1
0_381: transcript:QX1410.17030.1
0_382: transcript:QX1410.17031.1
0_383: transcript:QX1410.17032.1
0_384: transcript:QX1410.17033.1
0_385: transcript:QX1410.17034.1
0_386: transcript:QX1410.17035.1
0_387: transcript:QX1410.17036.1
0_388: transcript:QX1410.17036.2
0_389: transcript:QX1410.17037.1
0_390: transcript:QX1410.17038.1
0_391: transcript:QX1410.17038.2
0_392: transcript:QX1410.17039.1
0_393: transcript:QX1410.17040.1
0_394: transcript:QX1410.17041.1
0_395: transcript:QX1410.17042.1
0_396: transcript:QX1410.17043.1
0_397: transcript:QX1410.17044.1
0_398: transcript:QX1410.17045.1
0_399: transcript:QX1410.17046.1
0_400: transcript:QX1410.17047.1
0_401: transcript:QX1410.17048.1
0_402: transcript:QX1410.17049.1
0_403: transcript:QX1410.17050.1
0_404: transcript:QX1410.17051.1
0_405: transcript:QX1410.17052.1
0_406: transcript:QX1410.17053.1
0_407: transcript:QX1410.17054.1
0_408: transcript:QX1410.17055.1
0_409: transcript:QX1410.17056.1
0_410: transcript:QX1410.17057.1
0_411: transcript:QX1410.17057.2
0_412: transcript:QX1410.17058.1
0_413: transcript:QX1410.17058.2
0_414: transcript:QX1410.17059.1
0_415: transcript:QX1410.17059.2
0_416: transcript:QX1410.17060.1
0_417: transcript:QX1410.17061.1
0_418: transcript:QX1410.17061.2
0_419: transcript:QX1410.17062.1
0_420: transcript:QX1410.17063.1
0_421: transcript:QX1410.17064.1
0_422: transcript:QX1410.17064.2
0_423: transcript:QX1410.17065.1
0_424: transcript:QX1410.17066.1
0_425: transcript:QX1410.17067.1
0_426: transcript:QX1410.17067.2
0_427: transcript:QX1410.17067.3
0_428: transcript:QX1410.17068.1
0_429: transcript:QX1410.17069.1
0_430: transcript:QX1410.17070.1
0_431: transcript:QX1410.17071.1
0_432: transcript:QX1410.17072.1
0_433: transcript:QX1410.17073.1
0_434: transcript:QX1410.17073.2
0_435: transcript:QX1410.17074.1
0_436: transcript:QX1410.17074.2
0_437: transcript:QX1410.17075.1
0_438: transcript:QX1410.17076.1
0_439: transcript:QX1410.17077.1
0_440: transcript:QX1410.17078.1
0_441: transcript:QX1410.17079.1
0_442: transcript:QX1410.17079.2
0_443: transcript:QX1410.17079.3
0_444: transcript:QX1410.17080.1
0_445: transcript:QX1410.17081.1
0_446: transcript:QX1410.17081.2
0_447: transcript:QX1410.17081.3
0_448: transcript:QX1410.17081.4
0_449: transcript:QX1410.17082.1
0_450: transcript:QX1410.17083.1
0_451: transcript:QX1410.17083.2
0_452: transcript:QX1410.17084.1
0_453: transcript:QX1410.17084.2
0_454: transcript:QX1410.17085.1
0_455: transcript:QX1410.17086.1
0_456: transcript:QX1410.17087.1
0_457: transcript:QX1410.17088.1
0_458: transcript:QX1410.17088.2
0_459: transcript:QX1410.17089.1
0_460: transcript:QX1410.17090.1
0_461: transcript:QX1410.17091.1
0_462: transcript:QX1410.17091.2
0_463: transcript:QX1410.17092.1
0_464: transcript:QX1410.17092.2
0_465: transcript:QX1410.17092.3
0_466: transcript:QX1410.17093.1
0_467: transcript:QX1410.17093.2
0_468: transcript:QX1410.17093.3
0_469: transcript:QX1410.17093.4
0_470: transcript:QX1410.17094.1
0_471: transcript:QX1410.17095.1
0_472: transcript:QX1410.17095.2
0_473: transcript:QX1410.17096.1
0_474: transcript:QX1410.17096.2
0_475: transcript:QX1410.17097.1
0_476: transcript:QX1410.17098.1
0_477: transcript:QX1410.17099.1
0_478: transcript:QX1410.17100.1
0_479: transcript:QX1410.17100.2
0_480: transcript:QX1410.17101.1
0_481: transcript:QX1410.17101.2
0_482: transcript:QX1410.17101.3
0_483: transcript:QX1410.17102.1
0_484: transcript:QX1410.17103.1
0_485: transcript:QX1410.17103.2
0_486: transcript:QX1410.17104.1
0_487: transcript:QX1410.17105.1
0_488: transcript:QX1410.17106.1
0_489: transcript:QX1410.17107.1
0_490: transcript:QX1410.17108.1
0_491: transcript:QX1410.17109.1
0_492: transcript:QX1410.17110.1
0_493: transcript:QX1410.17111.1
0_494: transcript:QX1410.17112.1
0_495: transcript:QX1410.17113.1
0_496: transcript:QX1410.17114.1
0_497: transcript:QX1410.17115.1
0_498: transcript:QX1410.17116.1
0_499: transcript:QX1410.17117.1
0_500: transcript:QX1410.17117.2
0_501: transcript:QX1410.17117.3
0_502: transcript:QX1410.17118.1
0_503: transcript:QX1410.17119.1
0_504: transcript:QX1410.17119.2
0_505: transcript:QX1410.17120.1
0_506: transcript:QX1410.17121.1
0_507: transcript:QX1410.17121.2
0_508: transcript:QX1410.17122.1
0_509: transcript:QX1410.17122.2
0_510: transcript:QX1410.17122.3
0_511: transcript:QX1410.17122.4
0_512: transcript:QX1410.17123.1
0_513: transcript:QX1410.17123.2
0_514: transcript:QX1410.17123.3
0_515: transcript:QX1410.17124.1
0_516: transcript:QX1410.17124.2
0_517: transcript:QX1410.17125.1
0_518: transcript:QX1410.17126.1
0_519: transcript:QX1410.17127.1
0_520: transcript:QX1410.17128.1
0_521: transcript:QX1410.17129.1
0_522: transcript:QX1410.17129.2
0_523: transcript:QX1410.17130.1
0_524: transcript:QX1410.17131.1
0_525: transcript:QX1410.17132.1
0_526: transcript:QX1410.17132.2
0_527: transcript:QX1410.17133.1
0_528: transcript:QX1410.17134.1
0_529: transcript:QX1410.17135.1
0_530: transcript:QX1410.17135.2
0_531: transcript:QX1410.17136.1
0_532: transcript:QX1410.17137.1
0_533: transcript:QX1410.17137.2
0_534: transcript:QX1410.17137.3
0_535: transcript:QX1410.17137.4
0_536: transcript:QX1410.17137.5
0_537: transcript:QX1410.17137.6
0_538: transcript:QX1410.17137.7
0_539: transcript:QX1410.17137.8
0_540: transcript:QX1410.17137.9
0_541: transcript:QX1410.17138.1
0_542: transcript:QX1410.17139.1
0_543: transcript:QX1410.17140.1
0_544: transcript:QX1410.17141.1
0_545: transcript:QX1410.17142.1
0_546: transcript:QX1410.17142.2
0_547: transcript:QX1410.17142.3
0_548: transcript:QX1410.17142.4
0_549: transcript:QX1410.17142.5
0_550: transcript:QX1410.17143.1
0_551: transcript:QX1410.17144.1
0_552: transcript:QX1410.17145.1
0_553: transcript:QX1410.17146.1
0_554: transcript:QX1410.17147.1
0_555: transcript:QX1410.17148.1
0_556: transcript:QX1410.17149.1
0_557: transcript:QX1410.17150.1
0_558: transcript:QX1410.17150.2
0_559: transcript:QX1410.17151.1
0_560: transcript:QX1410.17152.1
0_561: transcript:QX1410.17153.1
0_562: transcript:QX1410.17154.1
0_563: transcript:QX1410.17155.1
0_564: transcript:QX1410.17156.1
0_565: transcript:QX1410.17157.1
0_566: transcript:QX1410.17158.1
0_567: transcript:QX1410.17159.1
0_568: transcript:QX1410.17159.2
0_569: transcript:QX1410.17160.1
0_570: transcript:QX1410.17161.1
0_571: transcript:QX1410.17161.2
0_572: transcript:QX1410.17162.1
0_573: transcript:QX1410.17163.1
0_574: transcript:QX1410.17164.1
0_575: transcript:QX1410.17165.1
0_576: transcript:QX1410.17166.1
0_577: transcript:QX1410.17167.1
0_578: transcript:QX1410.17167.2
0_579: transcript:QX1410.17167.3
0_580: transcript:QX1410.17168.1
0_581: transcript:QX1410.17168.2
0_582: transcript:QX1410.17168.3
0_583: transcript:QX1410.17169.1
0_584: transcript:QX1410.17169.2
0_585: transcript:QX1410.17169.3
0_586: transcript:QX1410.17168.4
0_587: transcript:QX1410.17170.1
0_588: transcript:QX1410.17171.1
0_589: transcript:QX1410.17172.1
0_590: transcript:QX1410.17172.2
0_591: transcript:QX1410.17172.3
0_592: transcript:QX1410.17172.4
0_593: transcript:QX1410.17173.1
0_594: transcript:QX1410.17174.1
0_595: transcript:QX1410.17175.1
0_596: transcript:QX1410.17175.2
0_597: transcript:QX1410.17176.1
0_598: transcript:QX1410.17177.1
0_599: transcript:QX1410.17178.1
0_600: transcript:QX1410.17178.2
0_601: transcript:QX1410.17178.3
0_602: transcript:QX1410.17179.1
0_603: transcript:QX1410.17179.2
0_604: transcript:QX1410.17180.1
0_605: transcript:QX1410.17181.1
0_606: transcript:QX1410.17181.2
0_607: transcript:QX1410.17182.1
0_608: transcript:QX1410.17183.1
0_609: transcript:QX1410.17184.1
0_610: transcript:QX1410.17185.1
0_611: transcript:QX1410.17186.1
0_612: transcript:QX1410.17187.1
0_613: transcript:QX1410.17188.1
0_614: transcript:QX1410.17189.1
0_615: transcript:QX1410.17190.1
0_616: transcript:QX1410.17191.1
0_617: transcript:QX1410.17192.1
0_618: transcript:QX1410.17193.1
0_619: transcript:QX1410.17194.1
0_620: transcript:QX1410.17195.1
0_621: transcript:QX1410.17196.1
0_622: transcript:QX1410.17197.1
0_623: transcript:QX1410.17198.1
0_624: transcript:QX1410.17199.1
0_625: transcript:QX1410.17200.1
0_626: transcript:QX1410.17201.1
0_627: transcript:QX1410.17201.2
0_628: transcript:QX1410.17202.1
0_629: transcript:QX1410.17202.2
0_630: transcript:QX1410.17202.3
0_631: transcript:QX1410.17203.1
0_632: transcript:QX1410.17204.1
0_633: transcript:QX1410.17205.1
0_634: transcript:QX1410.17206.1
0_635: transcript:QX1410.17207.1
0_636: transcript:QX1410.17208.1
0_637: transcript:QX1410.17209.1
0_638: transcript:QX1410.17210.1
0_639: transcript:QX1410.17211.1
0_640: transcript:QX1410.17212.1
0_641: transcript:QX1410.17213.1
0_642: transcript:QX1410.17213.2
0_643: transcript:QX1410.17214.1
0_644: transcript:QX1410.17215.1
0_645: transcript:QX1410.17215.2
0_646: transcript:QX1410.17216.1
0_647: transcript:QX1410.17216.2
0_648: transcript:QX1410.17216.3
0_649: transcript:QX1410.17217.1
0_650: transcript:QX1410.17217.2
0_651: transcript:QX1410.17218.1
0_652: transcript:QX1410.17218.2
0_653: transcript:QX1410.17219.1
0_654: transcript:QX1410.17220.1
0_655: transcript:QX1410.17221.1
0_656: transcript:QX1410.17222.1
0_657: transcript:QX1410.17223.1
0_658: transcript:QX1410.17224.1
0_659: transcript:QX1410.17225.1
0_660: transcript:QX1410.17225.2
0_661: transcript:QX1410.17226.1
0_662: transcript:QX1410.17227.1
0_663: transcript:QX1410.17228.1
0_664: transcript:QX1410.17229.1
0_665: transcript:QX1410.17230.1
0_666: transcript:QX1410.17231.1
0_667: transcript:QX1410.17232.1
0_668: transcript:QX1410.17233.1
0_669: transcript:QX1410.17233.2
0_670: transcript:QX1410.17234.1
0_671: transcript:QX1410.17235.1
0_672: transcript:QX1410.17236.1
0_673: transcript:QX1410.17236.2
0_674: transcript:QX1410.17236.3
0_675: transcript:QX1410.17236.4
0_676: transcript:QX1410.17236.5
0_677: transcript:QX1410.17236.6
0_678: transcript:QX1410.17236.7
0_679: transcript:QX1410.17236.8
0_680: transcript:QX1410.17236.9
0_681: transcript:QX1410.17236.10
0_682: transcript:QX1410.17236.11
0_683: transcript:QX1410.17237.1
0_684: transcript:QX1410.17237.2
0_685: transcript:QX1410.17238.1
0_686: transcript:QX1410.17239.1
0_687: transcript:QX1410.17240.1
0_688: transcript:QX1410.17241.1
0_689: transcript:QX1410.17242.1
0_690: transcript:QX1410.17243.1
0_691: transcript:QX1410.17244.1
0_692: transcript:QX1410.17244.2
0_693: transcript:QX1410.17245.1
0_694: transcript:QX1410.17246.1
0_695: transcript:QX1410.17247.1
0_696: transcript:QX1410.17248.1
0_697: transcript:QX1410.17249.1
0_698: transcript:QX1410.17249.2
0_699: transcript:QX1410.17250.1
0_700: transcript:QX1410.17251.1
0_701: transcript:QX1410.17252.1
0_702: transcript:QX1410.17253.1
0_703: transcript:QX1410.17254.1
0_704: transcript:QX1410.17254.2
0_705: transcript:QX1410.17255.1
0_706: transcript:QX1410.17255.2
0_707: transcript:QX1410.17255.3
0_708: transcript:QX1410.17255.4
0_709: transcript:QX1410.17256.1
0_710: transcript:QX1410.17256.2
0_711: transcript:QX1410.17257.1
0_712: transcript:QX1410.17257.2
0_713: transcript:QX1410.17257.3
0_714: transcript:QX1410.17257.4
0_715: transcript:QX1410.17258.1
0_716: transcript:QX1410.17259.1
0_717: transcript:QX1410.17260.1
0_718: transcript:QX1410.17261.1
0_719: transcript:QX1410.17261.2
0_720: transcript:QX1410.17261.3
0_721: transcript:QX1410.17262.1
0_722: transcript:QX1410.17263.1
0_723: transcript:QX1410.17263.2
0_724: transcript:QX1410.17263.3
0_725: transcript:QX1410.17263.4
0_726: transcript:QX1410.17264.1
0_727: transcript:QX1410.17264.2
0_728: transcript:QX1410.17265.1
0_729: transcript:QX1410.17266.1
0_730: transcript:QX1410.17267.1
0_731: transcript:QX1410.17268.1
0_732: transcript:QX1410.17268.2
0_733: transcript:QX1410.17269.1
0_734: transcript:QX1410.17269.2
0_735: transcript:QX1410.17270.1
0_736: transcript:QX1410.17271.1
0_737: transcript:QX1410.17272.1
0_738: transcript:QX1410.17272.2
0_739: transcript:QX1410.17273.1
0_740: transcript:QX1410.17274.1
0_741: transcript:QX1410.17275.1
0_742: transcript:QX1410.17276.1
0_743: transcript:QX1410.17277.1
0_744: transcript:QX1410.17278.1
0_745: transcript:QX1410.17279.1
0_746: transcript:QX1410.17279.2
0_747: transcript:QX1410.17280.1
0_748: transcript:QX1410.17280.2
0_749: transcript:QX1410.17281.1
0_750: transcript:QX1410.17282.1
0_751: transcript:QX1410.17283.1
0_752: transcript:QX1410.17283.2
0_753: transcript:QX1410.17283.3
0_754: transcript:QX1410.17283.4
0_755: transcript:QX1410.17284.1
0_756: transcript:QX1410.17284.2
0_757: transcript:QX1410.17285.1
0_758: transcript:QX1410.17285.2
0_759: transcript:QX1410.17286.1
0_760: transcript:QX1410.17287.1
0_761: transcript:QX1410.17288.1
0_762: transcript:QX1410.17289.1
0_763: transcript:QX1410.17290.1
0_764: transcript:QX1410.17291.1
0_765: transcript:QX1410.17292.1
0_766: transcript:QX1410.17293.1
0_767: transcript:QX1410.17294.1
0_768: transcript:QX1410.17295.1
0_769: transcript:QX1410.17296.1
0_770: transcript:QX1410.17297.1
0_771: transcript:QX1410.17297.2
0_772: transcript:QX1410.17298.1
0_773: transcript:QX1410.17298.2
0_774: transcript:QX1410.17299.1
0_775: transcript:QX1410.17299.2
