0_0: transcript:chrIII_pilon.g6684
0_83: Transcript:VC2010_MAPPED_F40G9.8.1
0_84: transcript:chrIII_pilon.g6720.3
0_85: Transcript:VC2010_MAPPED_F40G9.7.1
0_86: transcript:chrIII_pilon.g6720.1
0_87: transcript:chrIII_pilon.g6720.2
0_88: Transcript:VC2010_MAPPED_F40G9.18.1
0_89: transcript:chrIII_pilon.g6721
0_90: Transcript:VC2010_MAPPED_F40G9.9.1
0_91: transcript:chrIII_pilon.g6722.1
0_92: transcript:chrIII_pilon.g6722.2
0_93: Transcript:VC2010_MAPPED_F40G9.12.1
0_94: transcript:chrIII_pilon.g6723
0_95: Transcript:VC2010_MAPPED_F40G9.19.1
0_96: transcript:chrIII_pilon.g6724
0_97: Transcript:VC2010_MAPPED_F40G9.10.1
0_98: transcript:chrIII_pilon.g6725
0_99: Transcript:VC2010_MAPPED_F40G9.14.1
0_100: transcript:chrIII_pilon.g6726
0_101: Transcript:VC2010_MAPPED_F40G9.6.1
0_102: transcript:chrIII_pilon.g6727
0_103: transcript:chrIII_pilon.g6728
0_104: Transcript:VC2010_MAPPED_F40G9.15.1
0_105: Transcript:VC2010_MAPPED_F40G9.5.1
0_106: transcript:chrIII_pilon.g6729
0_107: transcript:chrIII_pilon.g6730
0_108: Transcript:VC2010_MAPPED_F40G9.11.1
0_109: transcript:chrIII_pilon.g6731
0_110: Transcript:VC2010_MAPPED_F40G9.3.1
0_111: transcript:chrIII_pilon.g6732
0_112: Transcript:VC2010_MAPPED_F40G9.2.1
0_113: Transcript:VC2010_MAPPED_F40G9.1.1
0_114: transcript:chrIII_pilon.g6733.2
0_115: transcript:chrIII_pilon.g6733.4
0_116: transcript:chrIII_pilon.g6733.3
0_117: Transcript:VC2010_MAPPED_F40G9.17.1
0_118: transcript:chrIII_pilon.g6733.1
0_119: Transcript:VC2010_MAPPED_W10C4.1.1
0_120: transcript:chrIII_pilon.g6734.2
0_121: transcript:chrIII_pilon.g6734.1
0_122: Transcript:VC2010_MAPPED_Y50D7A.6.1
0_123: transcript:chrIII_pilon.g6735
0_124: Transcript:VC2010_MAPPED_Y50D7A.5.1
0_125: transcript:chrIII_pilon.g6736
0_126: Transcript:VC2010_MAPPED_Y50D7A.4.1
0_127: transcript:chrIII_pilon.g6737
0_128: Transcript:VC2010_MAPPED_Y50D7A.3b.1
0_129: Transcript:VC2010_MAPPED_Y50D7A.3a.1
0_130: transcript:chrIII_pilon.g6738.3
0_131: transcript:chrIII_pilon.g6738.1
0_132: transcript:chrIII_pilon.g6738.2
0_133: Transcript:VC2010_MAPPED_Y50D7A.2.1
0_134: transcript:chrIII_pilon.g6739
0_135: Transcript:VC2010_MAPPED_Y50D7A.9.1
0_136: transcript:chrIII_pilon.g6740
0_137: Transcript:VC2010_MAPPED_Y50D7A.13b.1
0_138: Transcript:VC2010_MAPPED_Y50D7A.13a.1
0_139: transcript:chrIII_pilon.g6741
0_140: Transcript:VC2010_MAPPED_Y50D7A.1.1
0_141: Transcript:VC2010_MAPPED_Y50D7A.7.1
0_142: transcript:chrIII_pilon.g6742
0_143: transcript:chrIII_pilon.g6743.1
0_144: transcript:chrIII_pilon.g6743.2
0_145: Transcript:VC2010_MAPPED_Y50D7A.10.1
0_146: transcript:chrIII_pilon.g6744
0_147: Transcript:VC2010_MAPPED_Y50D7A.8.1
0_148: transcript:chrIII_pilon.g6745
0_149: Transcript:VC2010_MAPPED_W07B3.2a.1
0_150: Transcript:VC2010_MAPPED_W07B3.2b.1
0_151: Transcript:VC2010_MAPPED_W07B3.2c.1
0_152: Transcript:VC2010_MAPPED_W07B3.2d.1
0_153: Transcript:VC2010_MAPPED_W07B3.2f.1
0_154: transcript:chrIII_pilon.g6746.1
0_155: transcript:chrIII_pilon.g6746.2
0_156: transcript:chrIII_pilon.g6746.3
0_157: Transcript:VC2010_MAPPED_W07B3.2e.1
0_158: Transcript:VC2010_MAPPED_K10F12.3b.1
0_159: transcript:chrIII_pilon.g6747.2
0_160: transcript:chrIII_pilon.g6747.3
0_161: Transcript:VC2010_MAPPED_K10F12.3a.1
0_162: transcript:chrIII_pilon.g6747.1
0_163: transcript:chrIII_pilon.g6748.2
0_164: transcript:chrIII_pilon.g6748.3
0_165: Transcript:VC2010_MAPPED_K10F12.4a.1
0_166: transcript:chrIII_pilon.g6748.1
0_167: Transcript:VC2010_MAPPED_K10F12.4b.1
0_168: Transcript:VC2010_MAPPED_K10F12.7.1
0_169: transcript:chrIII_pilon.g6749.1
0_170: transcript:chrIII_pilon.g6749.2
0_171: transcript:chrIII_pilon.g6749.3
0_172: Transcript:VC2010_MAPPED_Y55B1BL.2.1
0_173: Transcript:VC2010_MAPPED_Y55B1BL.1a.1
0_174: transcript:chrIII_pilon.g6750
0_175: Transcript:VC2010_MAPPED_Y55B1BL.1b.1
0_176: Transcript:VC2010_MAPPED_Y55B1BM.1a.1
0_177: Transcript:VC2010_MAPPED_Y55B1BM.1b.1
0_178: transcript:chrIII_pilon.g6751.1
0_179: transcript:chrIII_pilon.g6751.2
0_180: Transcript:VC2010_MAPPED_Y55B1BM.1c.1
0_181: transcript:chrIII_pilon.g6752
0_182: Transcript:VC2010_MAPPED_Y55B1BR.3.1
0_183: transcript:chrIII_pilon.g6753
0_184: Transcript:VC2010_MAPPED_Y55B1BR.2.1
0_185: transcript:chrIII_pilon.g6754
0_186: Transcript:VC2010_MAPPED_Y55B1BR.1.1
0_187: transcript:chrIII_pilon.g6755
0_188: Transcript:VC2010_MAPPED_Y55B1BR.8.1
0_189: transcript:chrIII_pilon.g6756
0_190: transcript:chrIII_pilon.g6757
0_191: Transcript:VC2010_MAPPED_Y55B1BR.6c.1
0_192: Transcript:VC2010_MAPPED_Y55B1BR.6d.1
0_193: Transcript:VC2010_MAPPED_Y55B1BR.6g.1
0_194: Transcript:VC2010_MAPPED_Y55B1BR.6e.1
0_195: Transcript:VC2010_MAPPED_Y55B1BR.6f.1
0_196: Transcript:VC2010_MAPPED_Y55B1BR.6a.1
0_197: Transcript:VC2010_MAPPED_Y55B1BR.6b.1
0_198: transcript:chrIII_pilon.g6758.1
0_199: transcript:chrIII_pilon.g6758.2
0_200: Transcript:VC2010_MAPPED_Y55B1BR.4.1
0_201: transcript:chrIII_pilon.g6759
0_202: Transcript:VC2010_MAPPED_F10C5.2.1
0_203: transcript:chrIII_pilon.g6760
0_204: transcript:chrIII_pilon.g6761.2
0_205: Transcript:VC2010_MAPPED_F10C5.1.1
0_206: transcript:chrIII_pilon.g6761.1
0_207: Transcript:VC2010_MAPPED_F10C5.3.1
0_208: transcript:chrIII_pilon.g6762
0_209: Transcript:VC2010_MAPPED_F30H5.2.1
0_210: transcript:chrIII_pilon.g6763
0_211: Transcript:VC2010_MAPPED_F30H5.5.1
0_212: transcript:chrIII_pilon.g6764
0_213: Transcript:VC2010_MAPPED_F30H5.1.1
0_214: transcript:chrIII_pilon.g6765
0_215: transcript:chrIII_pilon.g6766
0_216: Transcript:VC2010_MAPPED_F30H5.3.1
0_217: transcript:chrIII_pilon.g6767
0_218: transcript:chrIII_pilon.g6768.2
0_219: transcript:chrIII_pilon.g6768.1
0_220: Transcript:VC2010_MAPPED_T22F7.3.1
0_221: transcript:chrIII_pilon.g6769
0_222: Transcript:VC2010_MAPPED_T22F7.4.1
0_223: transcript:chrIII_pilon.g6770.1
0_224: transcript:chrIII_pilon.g6770.2
0_225: transcript:chrIII_pilon.g6771
0_226: Transcript:VC2010_MAPPED_T22F7.1.1
0_227: transcript:chrIII_pilon.g6772
0_228: Transcript:VC2010_MAPPED_B0353.1b.1
0_229: transcript:chrIII_pilon.g6773
0_230: Transcript:VC2010_MAPPED_B0353.1a.1
0_231: Transcript:VC2010_MAPPED_B0353.1c.1
0_232: Transcript:VC2010_MAPPED_B0353.1d.1
0_233: Transcript:VC2010_MAPPED_B0353.1e.1
0_234: Transcript:VC2010_MAPPED_Y55B1AL.2.1
0_235: transcript:chrIII_pilon.g6774
0_236: Transcript:VC2010_MAPPED_Y55B1AL.3b.1
0_237: Transcript:VC2010_MAPPED_Y55B1AL.3a.1
0_238: transcript:chrIII_pilon.g6775
0_239: Transcript:VC2010_MAPPED_Y55B1AR.2a.1
0_240: Transcript:VC2010_MAPPED_Y55B1AR.2c.1
0_241: Transcript:VC2010_MAPPED_Y55B1AR.2d.1
0_242: transcript:chrIII_pilon.g6776.1
0_243: transcript:chrIII_pilon.g6776.3
0_244: Transcript:VC2010_MAPPED_Y55B1AR.2b.1
0_245: transcript:chrIII_pilon.g6776.2
0_246: Transcript:VC2010_MAPPED_Y55B1AR.1.1
0_247: transcript:chrIII_pilon.g6777
0_248: transcript:chrIII_pilon.g6778
0_249: Transcript:VC2010_MAPPED_Y55B1AR.4.1
0_250: transcript:chrIII_pilon.g6779
0_251: Transcript:VC2010_MAPPED_T19C3.9.1
0_252: transcript:chrIII_pilon.g6780
0_253: Transcript:VC2010_MAPPED_T19C3.1.1
0_254: transcript:chrIII_pilon.g6781
0_255: Transcript:VC2010_MAPPED_T19C3.3.1
0_256: transcript:chrIII_pilon.g6782
0_257: transcript:chrIII_pilon.g6783
0_258: Transcript:VC2010_MAPPED_T19C3.2.1
0_259: Transcript:VC2010_MAPPED_T19C3.4.1
0_260: transcript:chrIII_pilon.g6784
0_261: transcript:chrIII_pilon.g6785.2
0_262: Transcript:VC2010_MAPPED_T19C3.5.1
0_263: transcript:chrIII_pilon.g6785.1
0_264: Transcript:VC2010_MAPPED_T19C3.6.1
0_265: transcript:chrIII_pilon.g6786
0_266: Transcript:VC2010_MAPPED_T19C3.8.1
0_267: transcript:chrIII_pilon.g6787
0_268: Transcript:VC2010_MAPPED_T19C3.7.1
0_269: transcript:chrIII_pilon.g6788
0_270: Transcript:VC2010_MAPPED_W06E11.4.1
0_271: transcript:chrIII_pilon.g6789
0_272: Transcript:VC2010_MAPPED_W06E11.5a.1
0_273: transcript:chrIII_pilon.g6790
0_274: Transcript:VC2010_MAPPED_W06E11.5b.1
0_275: Transcript:VC2010_MAPPED_W06E11.2.1
0_276: transcript:chrIII_pilon.g6791
0_277: Transcript:VC2010_MAPPED_W06E11.1.1
0_278: transcript:chrIII_pilon.g6792
0_279: transcript:chrIII_pilon.g6793.3
0_280: Transcript:VC2010_MAPPED_C09F5.2a.1
0_281: transcript:chrIII_pilon.g6793.2
0_282: Transcript:VC2010_MAPPED_C09F5.2b.1
0_283: transcript:chrIII_pilon.g6793.1
0_284: Transcript:VC2010_MAPPED_C09F5.1a.1
0_285: transcript:chrIII_pilon.g6794.2
0_286: Transcript:VC2010_MAPPED_C09F5.1b.1
0_287: transcript:chrIII_pilon.g6794.1
0_288: Transcript:VC2010_MAPPED_C09F5.3.1
0_289: transcript:chrIII_pilon.g6795.2
0_290: transcript:chrIII_pilon.g6795.1
0_291: Transcript:VC2010_MAPPED_W02B3.3.1
0_292: transcript:chrIII_pilon.g6796
0_293: Transcript:VC2010_MAPPED_W02B3.2.1
0_294: transcript:chrIII_pilon.g6797
0_295: Transcript:VC2010_MAPPED_W02B3.4.1
0_296: transcript:chrIII_pilon.g6798
0_297: transcript:chrIII_pilon.g6799.1
0_298: transcript:chrIII_pilon.g6799.2
0_299: transcript:chrIII_pilon.g6799.3
0_300: Transcript:VC2010_MAPPED_W02B3.7.1
0_301: transcript:chrIII_pilon.g6800
0_302: Transcript:VC2010_MAPPED_C24A1.2b.1
0_303: transcript:chrIII_pilon.g6801
0_304: Transcript:VC2010_MAPPED_C24A1.3.1
0_305: transcript:chrIII_pilon.g6802
0_306: transcript:chrIII_pilon.g6803
0_307: Transcript:VC2010_MAPPED_C24A1.2a.1
0_308: transcript:chrIII_pilon.g6804
0_309: Transcript:VC2010_MAPPED_C24A1.1.1
0_310: transcript:chrIII_pilon.g6805
0_311: Transcript:VC2010_MAPPED_T17H7.4f.1
0_312: Transcript:VC2010_MAPPED_T17H7.4g.1
0_313: Transcript:VC2010_MAPPED_T17H7.4e.1
0_314: Transcript:VC2010_MAPPED_T17H7.4h.1
0_315: Transcript:VC2010_MAPPED_T17H7.4i.1
0_316: transcript:chrIII_pilon.g6806.1
0_317: transcript:chrIII_pilon.g6806.2
0_318: Transcript:VC2010_MAPPED_T17H7.4k.1
0_319: Transcript:VC2010_MAPPED_T17H7.4a.1
0_320: Transcript:VC2010_MAPPED_T17H7.4b.1
0_321: Transcript:VC2010_MAPPED_T17H7.4c.1
0_322: Transcript:VC2010_MAPPED_T17H7.4j.1
0_323: Transcript:VC2010_MAPPED_T17H7.4m.1
0_324: Transcript:VC2010_MAPPED_T17H7.4d.1
0_325: transcript:chrIII_pilon.g6807.1
0_326: transcript:chrIII_pilon.g6807.2
0_327: Transcript:VC2010_MAPPED_T17H7.1.1
0_328: transcript:chrIII_pilon.g6808
0_329: transcript:chrIII_pilon.g6809.1
0_330: transcript:chrIII_pilon.g6809.3
0_331: transcript:chrIII_pilon.g6809.2
0_332: Transcript:VC2010_MAPPED_T17H7.7.1
0_333: transcript:chrIII_pilon.g6810
0_334: Transcript:VC2010_MAPPED_F42G9.4.1
0_335: transcript:chrIII_pilon.g6811
0_336: Transcript:VC2010_MAPPED_F42G9.9a.1
0_337: Transcript:VC2010_MAPPED_F42G9.9c.1
0_338: transcript:chrIII_pilon.g6812.2
0_339: Transcript:VC2010_MAPPED_F42G9.9b.1
0_340: transcript:chrIII_pilon.g6812.1
0_341: transcript:chrIII_pilon.g6812.3
0_342: Transcript:VC2010_MAPPED_F42G9.9d.1
0_343: Transcript:VC2010_MAPPED_F42G9.8.1
0_344: Transcript:VC2010_MAPPED_F42G9.2.1
0_345: transcript:chrIII_pilon.g6813
0_346: Transcript:VC2010_MAPPED_F42G9.5b.1
0_347: Transcript:VC2010_MAPPED_F42G9.5a.1
0_348: transcript:chrIII_pilon.g6814
0_349: Transcript:VC2010_MAPPED_F42G9.6a.1
0_350: Transcript:VC2010_MAPPED_F42G9.6b.1
0_351: Transcript:VC2010_MAPPED_F42G9.6c.1
0_352: transcript:chrIII_pilon.g6815.1
0_353: transcript:chrIII_pilon.g6815.2
0_354: transcript:chrIII_pilon.g6815.3
0_355: Transcript:VC2010_MAPPED_F42G9.1a.1
0_356: transcript:chrIII_pilon.g6816
0_357: Transcript:VC2010_MAPPED_F42G9.1b.1
0_358: Transcript:VC2010_MAPPED_F42G9.7.1
0_359: transcript:chrIII_pilon.g6817
0_360: Transcript:VC2010_MAPPED_B0412.4.1
0_361: Transcript:VC2010_MAPPED_B0412.3a.1
0_362: transcript:chrIII_pilon.g6818
0_363: Transcript:VC2010_MAPPED_B0412.3b.1
0_364: Transcript:VC2010_MAPPED_B0412.3c.1
0_365: Transcript:VC2010_MAPPED_B0412.3d.1
0_366: Transcript:VC2010_MAPPED_B0412.3e.1
0_367: Transcript:VC2010_MAPPED_B0412.2.1
0_368: transcript:chrIII_pilon.g6819.1
0_369: transcript:chrIII_pilon.g6819.2
0_370: transcript:chrIII_pilon.g6820.1
0_371: Transcript:VC2010_MAPPED_B0412.1a.1
0_372: transcript:chrIII_pilon.g6820.2
0_373: Transcript:VC2010_MAPPED_B0412.1b.1
0_374: Transcript:VC2010_MAPPED_K02F3.5.1
0_375: transcript:chrIII_pilon.g6821
0_376: transcript:chrIII_pilon.g6822
0_377: transcript:chrIII_pilon.g6823
0_378: Transcript:VC2010_MAPPED_K02F3.6.1
0_379: Transcript:VC2010_MAPPED_K02F3.4.1
0_380: transcript:chrIII_pilon.g6824
0_381: Transcript:VC2010_MAPPED_K02F3.8.1
0_382: transcript:chrIII_pilon.g6825
0_383: Transcript:VC2010_MAPPED_K02F3.9.1
0_384: transcript:chrIII_pilon.g6826
0_385: Transcript:VC2010_MAPPED_K02F3.3.1
0_386: transcript:chrIII_pilon.g6827
0_387: Transcript:VC2010_MAPPED_K02F3.2a.1
0_388: Transcript:VC2010_MAPPED_K02F3.2b.1
0_389: transcript:chrIII_pilon.g6828.1
0_390: transcript:chrIII_pilon.g6828.2
0_391: Transcript:VC2010_MAPPED_K02F3.10.1
0_392: transcript:chrIII_pilon.g6829
0_393: Transcript:VC2010_MAPPED_K02F3.11.1
0_394: transcript:chrIII_pilon.g6830
0_395: Transcript:VC2010_MAPPED_K02F3.1.1
0_396: transcript:chrIII_pilon.g6831
0_397: Transcript:VC2010_MAPPED_K02F3.12a.1
0_398: transcript:chrIII_pilon.g6832.1
0_399: Transcript:VC2010_MAPPED_K02F3.12b.1
0_400: transcript:chrIII_pilon.g6832.2
0_401: Transcript:VC2010_MAPPED_Y6D11A.1.1
0_402: transcript:chrIII_pilon.g6833
0_403: Transcript:VC2010_MAPPED_Y6D11A.2.1
0_404: transcript:chrIII_pilon.g6834
0_405: Transcript:VC2010_MAPPED_T24C4.2.1
0_406: transcript:chrIII_pilon.g6835.2
0_407: transcript:chrIII_pilon.g6835.1
0_408: Transcript:VC2010_MAPPED_T24C4.3.1
0_409: transcript:chrIII_pilon.g6836
0_410: Transcript:VC2010_MAPPED_T24C4.4.1
0_411: transcript:chrIII_pilon.g6837
0_412: Transcript:VC2010_MAPPED_T24C4.8.1
0_413: transcript:chrIII_pilon.g6838
0_414: Transcript:VC2010_MAPPED_T24C4.5.1
0_415: transcript:chrIII_pilon.g6839
0_416: Transcript:VC2010_MAPPED_T24C4.1.1
0_417: transcript:chrIII_pilon.g6840
0_418: Transcript:VC2010_MAPPED_T24C4.6b.1
0_419: transcript:chrIII_pilon.g6841.1
0_420: transcript:chrIII_pilon.g6841.2
0_421: Transcript:VC2010_MAPPED_T24C4.6a.1
0_422: Transcript:VC2010_MAPPED_T24C4.10.1
0_423: transcript:chrIII_pilon.g6842
0_424: Transcript:VC2010_MAPPED_T24C4.7.1
0_425: Transcript:VC2010_MAPPED_F23H11.2.1
0_426: transcript:chrIII_pilon.g6843
0_427: Transcript:VC2010_MAPPED_F23H11.3.1
0_428: transcript:chrIII_pilon.g6844.2
0_429: transcript:chrIII_pilon.g6844.3
0_430: transcript:chrIII_pilon.g6844.4
0_431: Transcript:VC2010_MAPPED_F23H11.4a.1
0_432: transcript:chrIII_pilon.g6844.1
0_433: Transcript:VC2010_MAPPED_F23H11.4b.1
0_434: Transcript:VC2010_MAPPED_F23H11.9b.1
0_435: Transcript:VC2010_MAPPED_F23H11.9a.1
0_436: transcript:chrIII_pilon.g6845
0_437: Transcript:VC2010_MAPPED_F23H11.5.1
0_438: transcript:chrIII_pilon.g6846
0_439: Transcript:VC2010_MAPPED_F23H11.1.1
0_440: transcript:chrIII_pilon.g6847
0_441: Transcript:VC2010_MAPPED_F23H11.6.1
0_442: transcript:chrIII_pilon.g6848
0_443: Transcript:VC2010_MAPPED_F23H11.7.1
0_444: transcript:chrIII_pilon.g6849
0_445: Transcript:VC2010_MAPPED_F23H11.8b.1
0_446: Transcript:VC2010_MAPPED_F23H11.8a.1
0_447: Transcript:VC2010_MAPPED_F23H11.8c.1
0_448: transcript:chrIII_pilon.g6850.1
0_449: transcript:chrIII_pilon.g6850.2
0_450: Transcript:VC2010_MAPPED_T12B5.6b.1
0_451: Transcript:VC2010_MAPPED_T12B5.6c.1
0_452: transcript:chrIII_pilon.g6851
0_453: Transcript:VC2010_MAPPED_T12B5.7.1
0_454: transcript:chrIII_pilon.g6852.1
0_455: transcript:chrIII_pilon.g6852.2
0_456: Transcript:VC2010_MAPPED_T12B5.5.1
0_457: Transcript:VC2010_MAPPED_T12B5.8.1
0_458: transcript:chrIII_pilon.g6853
0_459: Transcript:VC2010_MAPPED_T12B5.10.1
0_460: transcript:chrIII_pilon.g6854
0_461: transcript:chrIII_pilon.g6855.2
0_462: transcript:chrIII_pilon.g6855.1
0_463: Transcript:VC2010_MAPPED_T12B5.11.1
0_464: transcript:chrIII_pilon.g6856
0_465: Transcript:VC2010_MAPPED_T12B5.4.1
0_466: transcript:chrIII_pilon.g6857.2
0_467: transcript:chrIII_pilon.g6857.3
0_468: Transcript:VC2010_MAPPED_T12B5.3.1
0_469: transcript:chrIII_pilon.g6857.1
0_470: Transcript:VC2010_MAPPED_T12B5.15.1
0_471: transcript:chrIII_pilon.g6858
0_472: Transcript:VC2010_MAPPED_T12B5.14.1
0_473: transcript:chrIII_pilon.g6859
0_474: Transcript:VC2010_MAPPED_T12B5.2.1
0_475: transcript:chrIII_pilon.g6860
0_476: transcript:chrIII_pilon.g6861
0_477: Transcript:VC2010_MAPPED_T12B5.1.1
0_478: transcript:chrIII_pilon.g6862
0_479: transcript:chrIII_pilon.g6863
0_480: transcript:chrIII_pilon.g6864.1
0_481: transcript:chrIII_pilon.g6864.3
0_482: transcript:chrIII_pilon.g6864.2
0_483: transcript:chrIII_pilon.g6865
0_484: Transcript:VC2010_MAPPED_R06B10.5.1
0_485: transcript:chrIII_pilon.g6866
0_486: Transcript:VC2010_MAPPED_R06B10.4a.1
0_487: transcript:chrIII_pilon.g6867.1
0_488: Transcript:VC2010_MAPPED_R06B10.4b.1
0_489: transcript:chrIII_pilon.g6867.2
0_490: Transcript:VC2010_MAPPED_R06B10.7.1
0_491: Transcript:VC2010_MAPPED_R06B10.3.1
0_492: transcript:chrIII_pilon.g6868
0_493: Transcript:VC2010_MAPPED_Y34F4.6a.1
0_494: transcript:chrIII_pilon.g6869.2
0_495: Transcript:VC2010_MAPPED_Y34F4.6b.1
0_496: transcript:chrIII_pilon.g6869.1
0_497: Transcript:VC2010_MAPPED_Y34F4.2a.1
0_498: Transcript:VC2010_MAPPED_Y34F4.2b.1
0_499: transcript:chrIII_pilon.g6870
0_500: Transcript:VC2010_MAPPED_Y34F4.3.1
0_501: transcript:chrIII_pilon.g6871.1
0_502: transcript:chrIII_pilon.g6871.2
0_503: Transcript:VC2010_MAPPED_Y34F4.1a.1
0_504: Transcript:VC2010_MAPPED_Y34F4.1b.1
0_505: transcript:chrIII_pilon.g6872
0_506: Transcript:VC2010_MAPPED_Y34F4.4.1
0_507: transcript:chrIII_pilon.g6873
0_508: transcript:chrIII_pilon.g6874.1
0_509: transcript:chrIII_pilon.g6874.2
0_510: Transcript:VC2010_MAPPED_Y34F4.5a.1
0_511: transcript:chrIII_pilon.g6875
0_512: Transcript:VC2010_MAPPED_Y34F4.5b.1
0_513: Transcript:VC2010_MAPPED_E_BE45912.2.1
0_514: transcript:chrIII_pilon.g6876.1
0_515: transcript:chrIII_pilon.g6876.2
0_516: transcript:chrIII_pilon.g6876.3
0_517: Transcript:VC2010_MAPPED_BE0003N10.2.1
0_518: transcript:chrIII_pilon.g6877
0_519: Transcript:VC2010_MAPPED_BE0003N10.1.1
0_520: transcript:chrIII_pilon.g6878
0_521: Transcript:VC2010_MAPPED_BE0003N10.3b.1
0_522: Transcript:VC2010_MAPPED_BE0003N10.3a.1
0_523: transcript:chrIII_pilon.g6879
0_524: Transcript:VC2010_MAPPED_BE0003N10.6e.1
0_525: Transcript:VC2010_MAPPED_BE0003N10.6d.1
0_526: Transcript:VC2010_MAPPED_BE0003N10.6c.1
0_527: Transcript:VC2010_MAPPED_BE0003N10.6b.1
0_528: Transcript:VC2010_MAPPED_BE0003N10.6a.1
0_529: transcript:chrIII_pilon.g6880
0_530: Transcript:VC2010_MAPPED_Y92C3B.2b.1
0_531: Transcript:VC2010_MAPPED_Y92C3B.2a.1
0_532: transcript:chrIII_pilon.g6881
0_533: Transcript:VC2010_MAPPED_Y92C3B.3a.1
0_534: Transcript:VC2010_MAPPED_Y92C3B.3b.1
0_535: transcript:chrIII_pilon.g6882
0_536: Transcript:VC2010_MAPPED_Y92C3B.1.1
0_537: transcript:chrIII_pilon.g6883
0_538: Transcript:VC2010_MAPPED_F58B6.3a.1
